,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__loss,param_model__quantile,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,15.30219645500183,1.589417037509573,0.36773247718811036,0.04059733970607456,quantile,0.9037632080896509,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9037632080896509})",-2399.035903405959,-2421.2901570150925,-2433.710138580737,-2391.444842652939,-2411.595290764762,-2411.4152664838975,15.1438017139869,55
1,15.341584062576294,3.7421113618834014,0.37038426399230956,0.1016960678122938,quantile,0.9473282776666414,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9473282776666414})",-2954.5726169242926,-2965.3199700013515,-2956.091424262715,-3028.8931270754447,-3058.1461456026545,-2992.604656773292,42.74727165686698,69
2,14.212958717346192,2.860177888131155,0.3493302345275879,0.08650445865464922,quantile,0.9572423060674256,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9572423060674256})",-3157.1073441410454,-3269.2165338466934,-3200.897978867075,-3258.221960655,-3261.509315006183,-3229.3906265031997,43.55608511843161,71
3,16.718027591705322,1.8841699714980618,0.38464035987854006,0.0497149923229389,quantile,0.7481240371910369,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7481240371910369})",-1616.8532001474543,-1658.350648346129,-1665.00288657462,-1626.798496830692,-1628.7059456189636,-1639.142235503572,18.95163067303077,17
4,17.54406085014343,2.1346515159973496,0.4113187313079834,0.04053569835520605,quantile,0.8226481722034585,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8226481722034585})",-1881.5132282381496,-1910.3279666550097,-1914.5337167688365,-1871.1378379112343,-1873.237353512812,-1890.1500206172084,18.56776629941138,31
5,15.606247282028198,2.0713228136473862,0.39006853103637695,0.05912594016802388,quantile,0.9630235265287761,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9630235265287761})",-3322.2838316691186,-3468.325994620789,-3378.476538066509,-3451.853374579554,-3410.4885965218946,-3406.285667091573,52.48378574933906,76
6,22.1540629863739,3.1059377985331142,0.5100379467010498,0.09819209481637087,quantile,0.9171020260718071,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9171020260718071})",-2514.8856302235654,-2535.22908492293,-2543.7940731024714,-2583.3081631077303,-2518.382430493559,-2539.1198763700513,24.5231784471696,60
7,19.399375104904173,3.3874556620829375,0.42874622344970703,0.09084660179714096,quantile,0.9576025834024486,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9576025834024486})",-3190.6365698488626,-3258.97667420948,-3279.7603580168584,-3271.7068905687142,-3232.3052828856303,-3246.677155105909,32.309014375039276,72
8,22.160043478012085,2.1299387925273225,0.49221978187561033,0.07068176516377367,quantile,0.8961740044939824,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8961740044939824})",-2307.8635479571917,-2347.634688663322,-2355.145808893206,-2316.4270770666308,-2312.378958342749,-2327.89001618462,19.523225377613233,52
9,20.638443899154662,2.6106404734431776,0.47874765396118163,0.10005495036136029,quantile,0.9289924055058504,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9289924055058504})",-2692.0744084310522,-2704.319184249111,-2721.3201385973643,-2736.918910689952,-2666.163705050953,-2704.1592694036867,24.32045179126291,62
10,22.265927696228026,2.593474650163745,0.5025688648223877,0.05059890075337308,quantile,0.7,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7})",-1522.9076051356908,-1558.0792058987756,-1565.106868806173,-1533.1811957829393,-1519.6367753446643,-1539.7823301936485,18.494770168723154,1
11,22.799576091766358,2.8587333321876027,0.494185733795166,0.053798129128712666,quantile,0.7163991133208365,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7163991133208365})",-1549.325497135367,-1587.0870918756552,-1582.1520244991723,-1562.192348949377,-1555.9018960032818,-1567.3317716925706,14.772909101615884,6
12,17.65981411933899,2.2339554400090096,0.42378811836242675,0.05340241733310099,quantile,0.9603320111819633,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9603320111819633})",-3301.9467501959084,-3325.1697544910808,-3354.7976794344213,-3366.387064995718,-3306.6046363691057,-3330.981177097247,25.658483967386257,75
13,22.593971157073973,2.5906470836914495,0.4688284873962402,0.06560632593133141,quantile,0.8301085031001413,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8301085031001413})",-1921.055941277897,-1949.0656059611847,-1943.4769866622958,-1915.9769720425197,-1912.8882479873891,-1928.4927507862571,14.854097452642549,34
14,22.247768497467042,2.606163308090385,0.5133788108825683,0.07564915335983372,quantile,0.8848859261528665,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8848859261528665})",-2243.3368994517887,-2243.1191697669233,-2251.805394249802,-2228.446501867723,-2220.288848194292,-2237.3993627061054,11.387955956252393,47
15,17.96977734565735,3.4022885440318107,0.4263937950134277,0.09493272024094362,quantile,0.9602231366348823,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9602231366348823})",-3287.966607046294,-3327.9311048048457,-3301.3233845377786,-3333.0446552838844,-3389.12465727766,-3327.8780817900924,34.859480961276674,74
16,22.004884719848633,2.9259444578809566,0.4887979507446289,0.07900329028520917,quantile,0.8712884605138338,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8712884605138338})",-2158.417250305764,-2154.7986717072267,-2152.974725692786,-2144.640279485482,-2133.5257395371173,-2148.8713333456753,8.904883665951644,43
17,22.282948780059815,2.7115757103468727,0.48702235221862794,0.04676389273135972,quantile,0.7988037054176509,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7988037054176509})",-1784.8347286247827,-1810.860351881707,-1815.5324750844468,-1772.3109319022574,-1784.9594317532913,-1793.6995838492971,16.63500795354531,26
18,21.74686942100525,2.8492595075911424,0.49302105903625487,0.04797600012000714,quantile,0.7229639155152483,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7229639155152483})",-1573.0206395361736,-1597.518948689529,-1605.6405511485818,-1574.8041391215402,-1563.8150232365842,-1582.9598603464817,15.863224613051761,9
19,22.033246326446534,2.5003744756511708,0.5027434349060058,0.04596945810448206,quantile,0.7130190639884262,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7130190639884262})",-1536.8923337707656,-1595.6063157012504,-1591.0608545124937,-1555.1372168281098,-1550.0675709641596,-1565.7528583553558,23.33826707307122,5
20,22.120311880111693,2.8164791279126518,0.49481887817382814,0.035526436396826656,quantile,0.7117744621455002,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7117744621455002})",-1543.4072403290577,-1572.7708008628724,-1570.4343280808623,-1552.8728515089142,-1559.5869432210786,-1559.814432800557,10.936936648485428,4
