,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__l2_regularization,param_model__learning_rate,param_model__max_bins,param_model__max_depth,param_model__max_features,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_q,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,4.200558376312256,0.17903708195064516,0.8163183689117431,0.04721597697299649,HistGradientBoostingRegressor(),9,0.4,190,39,0.8,150,76,27,10,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.4), ('model__max_bins', 190), ('model__max_depth', 39), ('model__max_features', 0.8), ('model__max_iter', 150), ('model__max_leaf_nodes', 76), ('model__min_samples_leaf', 27), ('q', 10)])",-1455.6563658832808,-1452.1674623823353,-1408.7941613653013,-1411.5553623423261,-1443.8228640535463,-1434.399243205358,20.16850324677649,103
1,3.8189072132110597,0.035940537711342826,0.7937994003295898,0.020474487133530835,HistGradientBoostingRegressor(),11,0.05,250,45,0.6,90,56,39,14,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 11), ('model__learning_rate', 0.05), ('model__max_bins', 250), ('model__max_depth', 45), ('model__max_features', 0.6), ('model__max_iter', 90), ('model__max_leaf_nodes', 56), ('model__min_samples_leaf', 39), ('q', 14)])",-1650.9533495630828,-1659.7070236554587,-1628.587884263714,-1633.653353763274,-1658.9620940725754,-1646.3727410636209,12.9256397933551,141
2,3.7725964546203614,0.1983899063306477,0.7925625801086426,0.11193879515171669,HistGradientBoostingRegressor(),11,0.01,200,21,0.8,90,76,36,14,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 11), ('model__learning_rate', 0.01), ('model__max_bins', 200), ('model__max_depth', 21), ('model__max_features', 0.8), ('model__max_iter', 90), ('model__max_leaf_nodes', 76), ('model__min_samples_leaf', 36), ('q', 14)])",-3417.016077135953,-3429.626206027722,-3458.790774585312,-3410.434446043175,-3457.430744025932,-3434.6596495636186,20.121260523488488,148
3,4.186485719680786,0.2463523074569322,0.8225873470306396,0.08570439811772221,HistGradientBoostingRegressor(),3,0.2,240,33,0.6,270,84,51,7,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 3), ('model__learning_rate', 0.2), ('model__max_bins', 240), ('model__max_depth', 33), ('model__max_features', 0.6), ('model__max_iter', 270), ('model__max_leaf_nodes', 84), ('model__min_samples_leaf', 51), ('q', 7)])",-1404.7554310027667,-1406.9302409595175,-1370.4427180301466,-1376.5795162150025,-1392.8372544973042,-1390.3090321409477,14.659638296071618,39
4,3.5625160694122315,0.17150755070223836,0.7830567359924316,0.1034439805936548,HistGradientBoostingRegressor(),5,0.2,230,47,0.9,170,72,27,10,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 5), ('model__learning_rate', 0.2), ('model__max_bins', 230), ('model__max_depth', 47), ('model__max_features', 0.9), ('model__max_iter', 170), ('model__max_leaf_nodes', 72), ('model__min_samples_leaf', 27), ('q', 10)])",-1452.1551493140857,-1399.5887614071016,-1357.8566346563316,-1383.647434721343,-1419.5660152215146,-1402.5627990640755,31.98058038019927,58
5,5.441230773925781,0.1084804030729533,1.1151842594146728,0.059720171796692964,HistGradientBoostingRegressor(),11,0.01,170,43,0.7,170,64,45,9,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 11), ('model__learning_rate', 0.01), ('model__max_bins', 170), ('model__max_depth', 43), ('model__max_features', 0.7), ('model__max_iter', 170), ('model__max_leaf_nodes', 64), ('model__min_samples_leaf', 45), ('q', 9)])",-2292.6922466518217,-2309.4940285379357,-2309.000107088734,-2298.0467000716453,-2306.9236344475576,-2303.2313433595386,6.694564355101271,146
6,4.801837301254272,0.28113256825238103,0.9519558429718018,0.14072758436722593,HistGradientBoostingRegressor(),9,0.1,240,35,0.8,230,60,45,10,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.1), ('model__max_bins', 240), ('model__max_depth', 35), ('model__max_features', 0.8), ('model__max_iter', 230), ('model__max_leaf_nodes', 60), ('model__min_samples_leaf', 45), ('q', 10)])",-1441.15493371356,-1431.1138037933845,-1407.5409039041901,-1427.3012746208085,-1437.2236642611913,-1428.866916058627,11.688705235607692,91
7,3.9772929668426515,0.040060933248673616,0.9305550575256347,0.01799862848179586,HistGradientBoostingRegressor(),11,0.1,240,25,0.6,210,40,30,12,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 11), ('model__learning_rate', 0.1), ('model__max_bins', 240), ('model__max_depth', 25), ('model__max_features', 0.6), ('model__max_iter', 210), ('model__max_leaf_nodes', 40), ('model__min_samples_leaf', 30), ('q', 12)])",-1498.6525430803194,-1496.205666986152,-1449.6995922108536,-1464.966488951391,-1488.528494841108,-1479.6105572139647,19.11355052471035,127
8,3.314936876296997,0.3683288943925845,0.7006959438323974,0.04610046644826599,HistGradientBoostingRegressor(),9,0.4,200,27,0.7,50,56,39,5,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.4), ('model__max_bins', 200), ('model__max_depth', 27), ('model__max_features', 0.7), ('model__max_iter', 50), ('model__max_leaf_nodes', 56), ('model__min_samples_leaf', 39), ('q', 5)])",-1541.6995432168017,-1558.9660247054755,-1503.3552215749226,-1510.8751767542622,-1559.4941587192807,-1534.8780249941487,23.675061729856793,137
9,3.6459840297698975,0.09523133493299758,0.8698362827301025,0.049183578550723216,HistGradientBoostingRegressor(),9,0.3,180,35,0.7,130,44,51,12,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.3), ('model__max_bins', 180), ('model__max_depth', 35), ('model__max_features', 0.7), ('model__max_iter', 130), ('model__max_leaf_nodes', 44), ('model__min_samples_leaf', 51), ('q', 12)])",-1489.9326371975505,-1503.4669017193644,-1447.2747987333269,-1449.3688959407234,-1488.1430245402867,-1475.6372516262504,22.93336902262467,125
10,4.133005523681641,0.03887340749005294,0.8470892906188965,0.027873504424702475,HistGradientBoostingRegressor(),5,0.1,210,27,0.9,230,48,51,11,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 5), ('model__learning_rate', 0.1), ('model__max_bins', 210), ('model__max_depth', 27), ('model__max_features', 0.9), ('model__max_iter', 230), ('model__max_leaf_nodes', 48), ('model__min_samples_leaf', 51), ('q', 11)])",-1469.893177116148,-1463.878031796139,-1441.6171415353895,-1453.1277037130192,-1463.9746752983422,-1458.4981458918076,10.025888893909357,120
11,3.441545581817627,0.08083464612738238,0.7065792560577393,0.019722294334855645,HistGradientBoostingRegressor(),3,0.4,190,31,0.7,170,48,21,12,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 3), ('model__learning_rate', 0.4), ('model__max_bins', 190), ('model__max_depth', 31), ('model__max_features', 0.7), ('model__max_iter', 170), ('model__max_leaf_nodes', 48), ('model__min_samples_leaf', 21), ('q', 12)])",-1490.378494608119,-1467.9498218480035,-1472.9104398497027,-1453.701668709499,-1481.40368926117,-1473.268822855299,12.411370999131568,124
12,3.1958385467529298,0.05799708224311672,0.7311748027801513,0.02955271252288823,HistGradientBoostingRegressor(),1,0.4,190,43,0.6,70,68,33,13,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 1), ('model__learning_rate', 0.4), ('model__max_bins', 190), ('model__max_depth', 43), ('model__max_features', 0.6), ('model__max_iter', 70), ('model__max_leaf_nodes', 68), ('model__min_samples_leaf', 33), ('q', 13)])",-1488.1778542019551,-1492.8296068461514,-1451.9440675749477,-1491.4213331366714,-1511.5276284741155,-1487.1800980467683,19.417933069351214,129
