,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__max_samples,param_model__min_impurity_decrease,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,38.275592947006224,0.1173411159226193,1.1175479888916016,0.027129606339020146,RandomForestRegressor(),poisson,45,log2,0.9,0.1,40,75,450,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 45), ('model__max_features', 'log2'), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 40), ('model__min_samples_split', 75), ('model__n_estimators', 450)])",-1775.220989989393,-1767.8035891731859,-1805.0051591186764,-1784.961738419761,-1776.9869833660653,-1781.9956920134161,12.732890799882542,58
1,59.66599645614624,0.1444179133246718,1.297431516647339,0.029928354333660666,RandomForestRegressor(),poisson,25,0.7,0.9,0.05,30,45,550,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 25), ('model__max_features', 0.7), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 30), ('model__min_samples_split', 45), ('model__n_estimators', 550)])",-1666.5254966822943,-1642.0370129724988,-1677.6224219759106,-1666.5596636327377,-1659.2129447302934,-1662.3915079987469,11.754597880231778,45
2,44.527263450622556,0.11508170285805627,1.2607733726501464,0.033234867013471815,RandomForestRegressor(),poisson,20,0.5,0.7,0.1,30,80,550,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 20), ('model__max_features', 0.5), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 30), ('model__min_samples_split', 80), ('model__n_estimators', 550)])",-1731.7356205232672,-1712.7774144917462,-1754.6420644752527,-1735.8808674222425,-1722.4354660855668,-1731.4942865996152,14.053494117578522,54
3,56.27411098480225,0.21444282556586405,1.393308448791504,0.03513175844671648,RandomForestRegressor(),squared_error,35,0.7,0.8,0.05,80,85,650,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 35), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 80), ('model__min_samples_split', 85), ('model__n_estimators', 650)])",-1830.593461966022,-1812.4636902685259,-1860.6016830500243,-1843.8903267998865,-1829.2494759727522,-1835.3597276114422,16.088557587156778,64
4,48.05613217353821,0.27426902731116826,1.2946725368499756,0.14537956823119935,RandomForestRegressor(),squared_error,35,0.6,0.9,0.2,50,70,500,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 35), ('model__max_features', 0.6), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.2), ('model__min_samples_leaf', 50), ('model__min_samples_split', 70), ('model__n_estimators', 500)])",-1729.2233113403702,-1709.6406331382352,-1749.998976113615,-1736.6556277573857,-1722.17974206963,-1729.5396580838471,13.560681040585173,52
5,43.64781827926636,0.19541172560444275,1.2766483783721925,0.027408312350476156,RandomForestRegressor(),poisson,20,sqrt,0.9,0.1,50,60,600,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 20), ('model__max_features', 'sqrt'), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 50), ('model__min_samples_split', 60), ('model__n_estimators', 600)])",-1803.5809347099225,-1797.2716896169807,-1833.809272879837,-1813.1913744988128,-1803.3275943506155,-1810.2361732112338,12.841516568414987,61
6,57.60870494842529,0.2102874813185281,1.3100656032562257,0.046543536761162976,RandomForestRegressor(),poisson,30,0.7,0.8,0.1,70,50,600,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 70), ('model__min_samples_split', 50), ('model__n_estimators', 600)])",-1825.609592538915,-1798.3927052176618,-1844.0078846499653,-1826.8135239440317,-1814.4265495548416,-1821.850051181083,15.06715137752947,63
7,51.205254554748535,0.17030825161072352,1.2358569145202636,0.03026688404356346,RandomForestRegressor(),poisson,30,0.7,0.7,0.05,60,20,500,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 60), ('model__min_samples_split', 20), ('model__n_estimators', 500)])",-1797.978224613651,-1773.0827860327868,-1817.2691239751678,-1800.6609383314235,-1787.6930803010785,-1795.3368306508214,14.628861858650236,60
8,51.49385595321655,0.13726856657798703,1.318970537185669,0.02592501079437279,RandomForestRegressor(),poisson,45,0.5,0.8,0.05,20,45,550,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 45), ('model__max_features', 0.5), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 20), ('model__min_samples_split', 45), ('model__n_estimators', 550)])",-1633.8092133834655,-1614.8370576197697,-1650.4137879833931,-1630.3884175932296,-1627.5068834942751,-1631.3910720148265,11.470298683500472,38
9,40.563147974014285,0.18352017415388505,1.379221248626709,0.054430078706586046,RandomForestRegressor(),poisson,40,log2,0.8,0.05,40,30,650,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 40), ('model__max_features', 'log2'), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 40), ('model__min_samples_split', 30), ('model__n_estimators', 650)])",-1759.6557462252217,-1749.9322955742286,-1785.0166336803559,-1768.5691654542227,-1760.3751099422816,-1764.7097901752618,11.747083300453149,56
