,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_q,param_model__splitter,param_model__min_samples_split,param_model__min_samples_leaf,param_model__min_impurity_decrease,param_model__max_features,param_model__max_depth,param_model__ccp_alpha,param_model,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0,2000,0.05468622843424479,0.003201340541130148,0.006223917007446289,0.00039331194542958404,5,random,50,50,0.0001,,10,0.1,DecisionTreeRegressor(),"{'q': 5, 'model__splitter': 'random', 'model__min_samples_split': 50, 'model__min_samples_leaf': 50, 'model__min_impurity_decrease': 0.0001, 'model__max_features': None, 'model__max_depth': 10, 'model__ccp_alpha': 0.1, 'model': DecisionTreeRegressor()}",-4221.902372994117,-3723.4433355483125,-4188.8775931257605,-4044.741100556063,227.59151913105245,303,-4179.354064861,-3947.1273080589654,-4117.2462241934745,-4081.242532371147,98.16488174605578
1,0,2000,0.04880062739054362,0.0024858381121635035,0.005349318186442058,7.377718585507187e-06,14,best,200,20,0.001,sqrt,30,0.1,DecisionTreeRegressor(),"{'q': 14, 'model__splitter': 'best', 'model__min_samples_split': 200, 'model__min_samples_leaf': 20, 'model__min_impurity_decrease': 0.001, 'model__max_features': 'sqrt', 'model__max_depth': 30, 'model__ccp_alpha': 0.1, 'model': DecisionTreeRegressor()}",-4029.36407865897,-3740.8051499648636,-3900.9249108044974,-3890.364713142777,118.04011228748621,283,-3850.876222507208,-4024.697604821686,-3730.507124597941,-3868.6936506422785,120.76176332647883
2,0,2000,0.05327375729878744,0.0033561111539834386,0.005401055018107097,4.897914342092205e-05,7,best,50,50,0.01,sqrt,20,0.1,DecisionTreeRegressor(),"{'q': 7, 'model__splitter': 'best', 'model__min_samples_split': 50, 'model__min_samples_leaf': 50, 'model__min_impurity_decrease': 0.01, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__ccp_alpha': 0.1, 'model': DecisionTreeRegressor()}",-4243.991857671067,-3819.1818645319854,-3546.0402377054234,-3869.737986636159,287.17132756692547,281,-4228.120528260169,-3862.6805050566977,-3224.076749837494,-3771.62592771812,414.9250368344066
3,0,2000,0.05036592483520508,0.003033308523746717,0.0053861141204833984,0.00024083022474078816,5,random,20,10,0.001,0.5,25,0.01,DecisionTreeRegressor(),"{'q': 5, 'model__splitter': 'random', 'model__min_samples_split': 20, 'model__min_samples_leaf': 10, 'model__min_impurity_decrease': 0.001, 'model__max_features': 0.5, 'model__max_depth': 25, 'model__ccp_alpha': 0.01, 'model': DecisionTreeRegressor()}",-3428.8463826904676,-3498.7470718581976,-3766.067792477539,-3564.553749008735,145.32138836131745,239,-3229.69516047142,-3597.298148418046,-3447.178809056259,-3424.724039315242,150.91090462016186
4,0,2000,0.04864875475565592,0.0018608748576787962,0.005815585454305013,0.0006120796480078227,14,random,100,10,0.0,0.7,10,0.1,DecisionTreeRegressor(),"{'q': 14, 'model__splitter': 'random', 'model__min_samples_split': 100, 'model__min_samples_leaf': 10, 'model__min_impurity_decrease': 0.0, 'model__max_features': 0.7, 'model__max_depth': 10, 'model__ccp_alpha': 0.1, 'model': DecisionTreeRegressor()}",-4013.152784336599,-3525.411751898383,-3452.312483465818,-3663.6256732336,248.9481563275778,254,-3763.1193064831964,-3909.8242907705126,-3266.0884953536897,-3646.344030869133,275.47086031168254
5,0,2000,0.07076247533162434,0.00412392680060382,0.0075684388478597,0.0008674648774823978,3,random,100,10,0.01,log2,30,0.01,DecisionTreeRegressor(),"{'q': 3, 'model__splitter': 'random', 'model__min_samples_split': 100, 'model__min_samples_leaf': 10, 'model__min_impurity_decrease': 0.01, 'model__max_features': 'log2', 'model__max_depth': 30, 'model__ccp_alpha': 0.01, 'model': DecisionTreeRegressor()}",-4420.050171793952,-3724.1137551918887,-3713.0878433549146,-3952.417256780252,330.69704170243926,290,-4430.973586589963,-3650.301311958735,-3595.1407970672412,-3892.1385652053127,381.67879672461135
6,0,2000,0.06800301869710286,0.007409554586629955,0.006753444671630859,0.0014366875284902577,13,random,100,100,0.001,sqrt,20,0.001,DecisionTreeRegressor(),"{'q': 13, 'model__splitter': 'random', 'model__min_samples_split': 100, 'model__min_samples_leaf': 100, 'model__min_impurity_decrease': 0.001, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__ccp_alpha': 0.001, 'model': DecisionTreeRegressor()}",-5128.303685219179,-4543.2243495132525,-5360.916875533945,-5010.8149700887925,344.00384243471,385,-5761.759858903922,-5036.122910735248,-5045.518517635468,-5281.13376242488,339.8756172678148
7,0,2000,0.06763060887654622,0.0065062974499454,0.009216785430908203,0.0023531825346621207,12,best,100,50,0.0001,,20,0.1,DecisionTreeRegressor(),"{'q': 12, 'model__splitter': 'best', 'model__min_samples_split': 100, 'model__min_samples_leaf': 50, 'model__min_impurity_decrease': 0.0001, 'model__max_features': None, 'model__max_depth': 20, 'model__ccp_alpha': 0.1, 'model': DecisionTreeRegressor()}",-3780.503564379629,-3326.1094576030705,-3703.570593255031,-3603.3945384125764,198.56977370043913,244,-3503.2754001406565,-3352.287275743566,-3065.516623332985,-3307.0264330724026,181.55732717705638
8,0,2000,0.06638892491658528,0.010783890581922351,0.007714033126831055,0.0022891982164018627,9,random,50,100,0.01,log2,15,0.01,DecisionTreeRegressor(),"{'q': 9, 'model__splitter': 'random', 'model__min_samples_split': 50, 'model__min_samples_leaf': 100, 'model__min_impurity_decrease': 0.01, 'model__max_features': 'log2', 'model__max_depth': 15, 'model__ccp_alpha': 0.01, 'model': DecisionTreeRegressor()}",-5345.30052687811,-4599.174501646594,-4952.677335240928,-4965.717454588544,304.744204119231,383,-5369.853054154509,-4889.50451398072,-4788.100082170774,-5015.8192167686675,253.7396082710025
9,0,2000,0.06862298647562663,0.010651927667691831,0.009379148483276367,0.0031025637221004728,14,random,20,50,0.0001,0.7,30,0.01,DecisionTreeRegressor(),"{'q': 14, 'model__splitter': 'random', 'model__min_samples_split': 20, 'model__min_samples_leaf': 50, 'model__min_impurity_decrease': 0.0001, 'model__max_features': 0.7, 'model__max_depth': 30, 'model__ccp_alpha': 0.01, 'model': DecisionTreeRegressor()}",-4093.3898149045635,-3652.5302741370965,-4493.804799854989,-4079.908296298883,343.58116014842136,314,-4248.007964711419,-3973.8459441688224,-4389.246791486823,-4203.700233455688,172.45646266985912
