,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__min_impurity_decrease,param_model__max_samples,param_model__max_features,param_model__max_depth,param_model__criterion,param_model__bootstrap,param_model,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0,10000,25.073867321014404,0.06727734192772947,0.06831526756286621,0.0005219596768868248,250,2,5,0.0001,0.9,0.5,20,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 250, 'model__min_samples_split': 2, 'model__min_samples_leaf': 5, 'model__min_impurity_decrease': 0.0001, 'model__max_samples': 0.9, 'model__max_features': 0.5, 'model__max_depth': 20, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1975.4563804380439,-2076.1759681968197,-1963.6358415841582,-2005.089396739674,50.49690925094967,58,-1835.5383408340833,-1831.2815874587457,-1847.068192919292,-1837.9627070707072,6.668952527881126
1,0,10000,0.8039201100667318,0.010598967811626238,0.06703591346740723,0.00034407515555497423,300,62,29,0.001,,0.8,20,squared_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 300, 'model__min_samples_split': 62, 'model__min_samples_leaf': 29, 'model__min_impurity_decrease': 0.001, 'model__max_samples': None, 'model__max_features': 0.8, 'model__max_depth': 20, 'model__criterion': 'squared_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",-2155.5892848488534,-2248.4928488317714,-2173.561183171931,-2192.5477722841856,40.23378327368029,93,-2117.9300350457643,-2107.0847646989287,-2152.710926583688,-2125.908575442794,19.462433767540276
2,0,10000,0.08370272318522136,0.006796823419829702,0.0,0.0,500,82,37,0.001,0.9,0.3,40,absolute_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 500, 'model__min_samples_split': 82, 'model__min_samples_leaf': 37, 'model__min_impurity_decrease': 0.001, 'model__max_samples': 0.9, 'model__max_features': 0.3, 'model__max_depth': 40, 'model__criterion': 'absolute_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",,,,,,203,,,,,
3,0,10000,0.4638771216074626,0.009318700540695276,0.062149604161580406,0.0005591822794402373,300,32,17,0.0001,0.5,0.8,80,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 300, 'model__min_samples_split': 32, 'model__min_samples_leaf': 17, 'model__min_impurity_decrease': 0.0001, 'model__max_samples': 0.5, 'model__max_features': 0.8, 'model__max_depth': 80, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2222.2606900500386,-2319.418049788421,-2226.6872148583507,-2256.1219848989367,44.79354420255958,108,-2202.695317286883,-2186.8671114301137,-2238.8826908219985,-2209.4817065129987,21.77072091770074
4,0,10000,10.992442528406778,0.09617553926766197,0.027349392573038738,0.0032771643951877353,100,12,37,0.001,0.7,1.0,60,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 100, 'model__min_samples_split': 12, 'model__min_samples_leaf': 37, 'model__min_impurity_decrease': 0.001, 'model__max_samples': 0.7, 'model__max_features': 1.0, 'model__max_depth': 60, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2364.6853015301526,-2490.505256525653,-2349.8438238823883,-2401.6781273127312,63.10183054845596,140,-2377.562778277828,-2384.269908490849,-2402.906704920492,-2388.2464638963897,10.72189035220884
5,0,10000,0.3131546179453532,0.018904289432879563,0.044709364573160805,0.003918796295410559,200,82,17,0.01,0.9,0.3,20,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 200, 'model__min_samples_split': 82, 'model__min_samples_leaf': 17, 'model__min_impurity_decrease': 0.01, 'model__max_samples': 0.9, 'model__max_features': 0.3, 'model__max_depth': 20, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2889.1421163421032,-2961.3084775490697,-2754.912517421964,-2868.4543704377124,85.52118728576737,190,-2855.793266551242,-2816.293283336491,-2833.8370602556633,-2835.3078700477986,16.15930340030954
6,0,10000,0.2578980127970378,0.004745894673160984,0.036840359369913735,0.005880309719426678,150,52,25,0.0001,0.7,log2,40,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 150, 'model__min_samples_split': 52, 'model__min_samples_leaf': 25, 'model__min_impurity_decrease': 0.0001, 'model__max_samples': 0.7, 'model__max_features': 'log2', 'model__max_depth': 40, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2668.5273744945334,-2787.966154973173,-2602.7625500520608,-2686.418693173256,76.66015167387192,167,-2637.497739687034,-2663.762378052954,-2670.290060505278,-2657.183392748422,14.172658228424462
7,0,10000,0.08986298243204753,0.01553112899638534,0.0,0.0,150,92,25,0.001,0.7,sqrt,60,squared_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 150, 'model__min_samples_split': 92, 'model__min_samples_leaf': 25, 'model__min_impurity_decrease': 0.001, 'model__max_samples': 0.7, 'model__max_features': 'sqrt', 'model__max_depth': 60, 'model__criterion': 'squared_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",,,,,,203,,,,,
8,0,10000,57.832409620285034,0.38753322747781394,0.14174946149190268,0.042829369097478115,500,12,13,0.01,0.7,1.0,80,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 500, 'model__min_samples_split': 12, 'model__min_samples_leaf': 13, 'model__min_impurity_decrease': 0.01, 'model__max_samples': 0.7, 'model__max_features': 1.0, 'model__max_depth': 80, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2076.8438247824784,-2182.4547788778877,-2088.0906312631264,-2115.796411641164,47.357689315834904,87,-2050.5198301830183,-2021.525990849085,-2046.3940142514255,-2039.4799450945095,12.806611419118516
9,0,10000,0.07883063952128093,0.006935317926629842,0.0,0.0,150,62,9,0.01,0.9,0.3,60,squared_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 150, 'model__min_samples_split': 62, 'model__min_samples_leaf': 9, 'model__min_impurity_decrease': 0.01, 'model__max_samples': 0.9, 'model__max_features': 0.3, 'model__max_depth': 60, 'model__criterion': 'squared_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",,,,,,203,,,,,
10,0,10000,0.08332506815592448,0.010773814104570149,0.0,0.0,550,82,9,0.001,0.5,1.0,40,absolute_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 550, 'model__min_samples_split': 82, 'model__min_samples_leaf': 9, 'model__min_impurity_decrease': 0.001, 'model__max_samples': 0.5, 'model__max_features': 1.0, 'model__max_depth': 40, 'model__criterion': 'absolute_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",,,,,,203,,,,,
11,0,10000,0.49652965863545734,0.01695612096767225,0.08103728294372559,0.0021431893387417987,550,92,33,0.001,0.5,log2,60,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 550, 'model__min_samples_split': 92, 'model__min_samples_leaf': 33, 'model__min_impurity_decrease': 0.001, 'model__max_samples': 0.5, 'model__max_features': 'log2', 'model__max_depth': 60, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2896.353897035083,-2979.021287649926,-2780.559543293985,-2885.3115759929974,81.39703366297844,192,-2874.5418420080186,-2848.790585705144,-2880.8438411970455,-2868.058756303403,13.865438978441382
12,0,10000,44.19912465413412,0.6673013936927934,0.11246895790100098,0.01945182245140089,450,62,1,0.001,,sqrt,40,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 450, 'model__min_samples_split': 62, 'model__min_samples_leaf': 1, 'model__min_impurity_decrease': 0.001, 'model__max_samples': None, 'model__max_features': 'sqrt', 'model__max_depth': 40, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2197.964682468247,-2307.0880824749142,-2182.9823705703902,-2229.3450451711838,55.31185710350651,102,-2136.392115378205,-2137.983835216855,-2156.5906025602562,-2143.6555177184387,9.169540443226587
13,0,10000,0.08988404273986816,0.008375812011786174,0.0,0.0,150,22,25,0.0001,0.9,0.3,60,squared_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 150, 'model__min_samples_split': 22, 'model__min_samples_leaf': 25, 'model__min_impurity_decrease': 0.0001, 'model__max_samples': 0.9, 'model__max_features': 0.3, 'model__max_depth': 60, 'model__criterion': 'squared_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",,,,,,203,,,,,
14,0,10000,9.856364409128824,0.11194708199395491,0.033622026443481445,0.002171125781370481,150,82,37,0.01,0.7,0.5,40,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 150, 'model__min_samples_split': 82, 'model__min_samples_leaf': 37, 'model__min_impurity_decrease': 0.01, 'model__max_samples': 0.7, 'model__max_features': 0.5, 'model__max_depth': 40, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2660.827318731873,-2801.0716791679165,-2608.0430903090305,-2689.9806960696064,81.4552989348981,168,-2658.8124932493247,-2677.1240614061403,-2688.135560556055,-2674.6907050705067,12.094116651245164
15,0,10000,0.08535035451253255,0.009454038706990561,0.0,0.0,150,32,21,0.0001,0.7,1.0,40,absolute_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 150, 'model__min_samples_split': 32, 'model__min_samples_leaf': 21, 'model__min_impurity_decrease': 0.0001, 'model__max_samples': 0.7, 'model__max_features': 1.0, 'model__max_depth': 40, 'model__criterion': 'absolute_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",,,,,,203,,,,,
16,0,10000,0.08295671145121257,0.010912101206223043,0.0,0.0,450,22,33,0.0001,0.9,0.8,20,squared_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 450, 'model__min_samples_split': 22, 'model__min_samples_leaf': 33, 'model__min_impurity_decrease': 0.0001, 'model__max_samples': 0.9, 'model__max_features': 0.8, 'model__max_depth': 20, 'model__criterion': 'squared_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",,,,,,203,,,,,
17,0,10000,0.44931530952453613,0.006642301027147047,0.06566826502482097,0.00025256562337849743,500,62,37,0.0001,0.7,0.3,40,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 500, 'model__min_samples_split': 62, 'model__min_samples_leaf': 37, 'model__min_impurity_decrease': 0.0001, 'model__max_samples': 0.7, 'model__max_features': 0.3, 'model__max_depth': 40, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-3216.350817319712,-3323.4726221773963,-3085.9455419115197,-3208.5896604695427,97.1251945743147,200,-3196.056961917535,-3178.1184753006387,-3194.409913134279,-3189.528450117484,8.096041683620994
18,0,10000,0.2329246997833252,0.011761013277221469,0.039432525634765625,0.007090953280625699,150,62,5,0.0001,0.7,0.3,60,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 150, 'model__min_samples_split': 62, 'model__min_samples_leaf': 5, 'model__min_impurity_decrease': 0.0001, 'model__max_samples': 0.7, 'model__max_features': 0.3, 'model__max_depth': 60, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2563.650749399647,-2660.5174268158785,-2478.650090875931,-2567.6060890304857,74.29968821904036,155,-2514.591471570231,-2520.4353352708586,-2520.711486865736,-2518.5794312356084,2.822166029293369
