,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__weights,param_model__p,param_model__n_neighbors,param_model__metric,param_model__leaf_size,param_model__algorithm,param_model,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0,10000,0.3693244457244873,0.017377471118658165,0.46045581499735516,0.029722972397244307,uniform,4,205,chebyshev,720,auto,KNeighborsRegressor(),"{'model__weights': 'uniform', 'model__p': 4, 'model__n_neighbors': 205, 'model__metric': 'chebyshev', 'model__leaf_size': 720, 'model__algorithm': 'auto', 'model': KNeighborsRegressor()}",-2856.6081183728134,-2823.4760832180777,-2585.996856270993,-2755.360352620628,120.51950979047147,247,-2853.591642334965,-2811.2950524320727,-2706.5267619444867,-2790.471152237175,61.81825984589408
1,0,10000,0.3953564961751302,0.003782008173225002,1.0719926357269287,0.06455267141409987,distance,2,1905,cosine,180,brute,KNeighborsRegressor(),"{'model__weights': 'distance', 'model__p': 2, 'model__n_neighbors': 1905, 'model__metric': 'cosine', 'model__leaf_size': 180, 'model__algorithm': 'brute', 'model': KNeighborsRegressor()}",-2437.5980175335035,-2504.4146395835633,-2577.6585605627743,-2506.557072559947,57.19954220508689,196,-694.4796647873511,-699.6204576935011,-84.61623056496161,-492.90545101527124,288.7117046349953
2,0,10000,0.3609030246734619,0.030607711116335413,1.8413569927215576,0.04551983975343682,uniform,3,555,minkowski,900,auto,KNeighborsRegressor(),"{'model__weights': 'uniform', 'model__p': 3, 'model__n_neighbors': 555, 'model__metric': 'minkowski', 'model__leaf_size': 900, 'model__algorithm': 'auto', 'model': KNeighborsRegressor()}",-3111.355878290532,-3107.388906998808,-2830.6173098390923,-3016.4540317094775,131.4163856144672,279,-3128.2077453691313,-3049.308816827629,-3011.8975902995703,-3063.1380508321104,48.479884680413974
3,0,10000,0.3479007879892985,0.018066871492424533,0.2910849253336589,0.0024736598885349665,uniform,4,55,euclidean,390,auto,KNeighborsRegressor(),"{'model__weights': 'uniform', 'model__p': 4, 'model__n_neighbors': 55, 'model__metric': 'euclidean', 'model__leaf_size': 390, 'model__algorithm': 'auto', 'model': KNeighborsRegressor()}",-2408.413228595587,-2360.432081389957,-2203.624476993154,-2324.156595659566,87.45109621745783,146,-2359.1955077325915,-2285.8372691814634,-2247.193145678204,-2297.4086408640865,46.45108365010502
4,0,10000,0.35634374618530273,0.002400562151705262,0.9126236438751221,0.02012123765450005,distance,4,1205,euclidean,690,auto,KNeighborsRegressor(),"{'model__weights': 'distance', 'model__p': 4, 'model__n_neighbors': 1205, 'model__metric': 'euclidean', 'model__leaf_size': 690, 'model__algorithm': 'auto', 'model': KNeighborsRegressor()}",-2486.6388101037865,-2586.7917566757806,-2785.840087252781,-2619.7568846774493,124.35265929343088,221,-709.085219892263,-721.1998809772377,-101.43127892371086,-510.57212659773717,289.34853974617596
5,0,10000,0.3745056788126628,0.03165391357560874,0.953503688176473,0.013496230474969331,uniform,3,1155,euclidean,510,auto,KNeighborsRegressor(),"{'model__weights': 'uniform', 'model__p': 3, 'model__n_neighbors': 1155, 'model__metric': 'euclidean', 'model__leaf_size': 510, 'model__algorithm': 'auto', 'model': KNeighborsRegressor()}",-3423.9438967273354,-3490.1820553483917,-3129.740802651694,-3347.95558490914,156.65278338015696,298,-3503.270066227402,-3398.7296421849974,-3301.015264903114,-3401.0049911051706,82.58585058072687
6,0,10000,0.3497135639190674,0.03309086859734288,2.455129384994507,0.04872287378508318,uniform,4,1005,minkowski,300,ball_tree,KNeighborsRegressor(),"{'model__weights': 'uniform', 'model__p': 4, 'model__n_neighbors': 1005, 'model__metric': 'minkowski', 'model__leaf_size': 300, 'model__algorithm': 'ball_tree', 'model': KNeighborsRegressor()}",-3503.1111558917087,-3515.4907511646684,-3218.5469221549024,-3412.3829430704263,137.1559109141933,301,-3546.7989425808255,-3459.3858561975594,-3408.9419755408376,-3471.708924773074,56.950442519227245
7,0,10000,0.36940471331278485,0.07024421394727821,0.3461469014485677,0.023818043254647533,distance,1,355,euclidean,30,brute,KNeighborsRegressor(),"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 355, 'model__metric': 'euclidean', 'model__leaf_size': 30, 'model__algorithm': 'brute', 'model': KNeighborsRegressor()}",-2235.6449980051634,-2295.480178068336,-2314.2048211531537,-2281.7766657422176,33.50374248562824,128,-695.5804153622244,-701.1985332321015,-76.94460880349637,-491.24118579927404,292.9608973849738
8,0,10000,0.39106933275858563,0.06941152919392017,0.7624332904815674,0.029479559736114783,uniform,2,1655,manhattan,600,brute,KNeighborsRegressor(),"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 1655, 'model__metric': 'manhattan', 'model__leaf_size': 600, 'model__algorithm': 'brute', 'model': KNeighborsRegressor()}",-3621.1513128352112,-3763.820681766062,-3359.4180828354743,-3581.4633591455827,167.46485353949356,322,-3760.0960895485323,-3659.07123482741,-3527.001022821315,-3648.7227823990856,95.4415890615387
9,0,10000,0.4451696077982585,0.05682222878923438,0.7722023328145345,0.02221270062796771,uniform,2,855,cosine,60,auto,KNeighborsRegressor(),"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 855, 'model__metric': 'cosine', 'model__leaf_size': 60, 'model__algorithm': 'auto', 'model': KNeighborsRegressor()}",-3434.9073237148273,-3497.6876206918937,-3099.4218442896927,-3344.005596232138,174.83563749574407,297,-3467.9702677285272,-3363.1641736103434,-3261.2923687105554,-3364.1422700164753,84.37873345836027
