,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__selection_method,param_selector__n_features_to_select,param_selector__model_name,param_selector__k,param_scaler__scaler_name,param_outlier_remover__z_columns,param_outlier_remover__threshold,param_outlier_remover__sev_outliers_cols,param_outlier_remover__outlier_method,param_outlier_remover__n_neighbors,param_outlier_remover__model_columns,param_outlier_remover__mod_outliers_cols,param_outlier_remover__contamination_LOF,param_outlier_remover__contamination_IF,param_model,param_imputer__knn_scaling_method,param_imputer__knn_neighbors,param_imputer__imputation_method,param_encoder__method,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0,2000,0.1247102419535319,0.005789403620874765,0.007246176401774089,0.00020433657641591145,rfe,8,dt,7,robust,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage', 'engineSize']",Isolation_Forest,50,"['car_age', 'mileage', 'tax', 'mpg', 'engineSize']","['car_age', 'mileage', 'tax', 'mpg']",0.15,0.15,"DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42)",robust,14,iterative,target,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 8, 'selector__model_name': 'dt', 'selector__k': 7, 'scaler__scaler_name': 'robust', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'Isolation_Forest', 'outlier_remover__n_neighbors': 50, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg', 'engineSize'], 'outlier_remover__mod_outliers_cols': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.15, 'outlier_remover__contamination_IF': 0.15, 'model': DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 14, 'imputer__imputation_method': 'iterative', 'encoder__method': 'target'}",-3227.185017234577,-3359.504708049079,-3176.5458395906253,-3254.411854958094,77.13391993244163,263,-2622.311109542881,-2509.120314403326,-2484.043621807132,-2538.4916819177797,60.14694485696783
1,0,2000,0.18738245964050293,0.011512000599944287,0.08775051434834798,0.006358836335573336,rfe,7,dt,5,minmax,"['car_age', 'mileage', 'tax', 'mpg']",2,"['car_age', 'mileage']",IQR,100,"['car_age', 'mileage', 'tax', 'mpg', 'engineSize']","['tax', 'mpg']",0.3,0.3,"DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42)",minmax,20,knn_modelwise,freq,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 7, 'selector__model_name': 'dt', 'selector__k': 5, 'scaler__scaler_name': 'minmax', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 2, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'IQR', 'outlier_remover__n_neighbors': 100, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg', 'engineSize'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.3, 'outlier_remover__contamination_IF': 0.3, 'model': DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42), 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 20, 'imputer__imputation_method': 'knn_modelwise', 'encoder__method': 'freq'}",-3769.818723023915,-3342.1685148408264,-3631.1459751901066,-3581.044404351616,178.14563459919148,360,-2753.0579405721446,-2574.7477085421237,-2732.861659590027,-2686.889102901432,79.72344568575608
2,0,2000,0.19078763326009116,0.0033667009935467473,0.08631292978922527,0.005803143655852823,rfe,7,dt,6,standard,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage']",LOF,90,"['car_age', 'mileage', 'tax', 'mpg']","['tax', 'mpg']",0.15,0.5,"DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42)",minmax,10,knn_modelwise,freq,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 7, 'selector__model_name': 'dt', 'selector__k': 6, 'scaler__scaler_name': 'standard', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 90, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.15, 'outlier_remover__contamination_IF': 0.5, 'model': DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42), 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 10, 'imputer__imputation_method': 'knn_modelwise', 'encoder__method': 'freq'}",-3871.232982654879,-3567.1276817171074,-3617.077241270452,-3685.1459685474797,133.1541018005051,374,-2827.6054303335027,-2848.096136036239,-2648.759320689898,-2774.8202956865466,89.53023443834788
3,0,2000,0.06068563461303711,0.0057664622363476315,0.00535273551940918,0.00029249292600887623,rfe,5,dt,5,minmax,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage']",z_score,100,"['car_age', 'mileage', 'tax', 'mpg']","['tax', 'mpg']",0.3,0.3,"DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42)",minmax,16,iterative,freq,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 5, 'selector__model_name': 'dt', 'selector__k': 5, 'scaler__scaler_name': 'minmax', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'z_score', 'outlier_remover__n_neighbors': 100, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.3, 'outlier_remover__contamination_IF': 0.3, 'model': DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42), 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 16, 'imputer__imputation_method': 'iterative', 'encoder__method': 'freq'}",-3470.5956348277145,-3224.342701612333,-3199.6565999172267,-3298.1983121190915,122.31919599161083,276,-2448.0980272648803,-2467.3352815557464,-2468.0354586523576,-2461.156255824328,9.237985416194677
4,0,2000,0.08489163716634114,0.0016015321312010868,0.004481395085652669,0.0001456363952306963,rfe,10,dt,10,standard,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage', 'engineSize']",Isolation_Forest,100,"['car_age', 'mileage', 'tax', 'mpg', 'engineSize']","['tax', 'mpg']",0.5,0.05,"DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42)",standard,16,simple,target,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 10, 'selector__model_name': 'dt', 'selector__k': 10, 'scaler__scaler_name': 'standard', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'Isolation_Forest', 'outlier_remover__n_neighbors': 100, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg', 'engineSize'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.5, 'outlier_remover__contamination_IF': 0.05, 'model': DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42), 'imputer__knn_scaling_method': 'standard', 'imputer__knn_neighbors': 16, 'imputer__imputation_method': 'simple', 'encoder__method': 'target'}",-3178.8108417321523,-3135.6811136104634,-3293.0828445313664,-3202.5249332913277,66.41081652904538,248,-2417.229754158797,-2310.7371030757113,-2388.388466898107,-2372.1184413775386,44.97189108399388
5,0,2000,0.04512826601664225,0.005908754136233417,0.005601723988850911,0.0004419910224965709,rfe,9,dt,10,standard,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage']",z_score,90,"['tax', 'mpg']","['tax', 'mpg']",0.05,0.15,"DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42)",robust,11,iterative,freq,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 9, 'selector__model_name': 'dt', 'selector__k': 10, 'scaler__scaler_name': 'standard', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'z_score', 'outlier_remover__n_neighbors': 90, 'outlier_remover__model_columns': ['tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.05, 'outlier_remover__contamination_IF': 0.15, 'model': DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 11, 'imputer__imputation_method': 'iterative', 'encoder__method': 'freq'}",-3439.4238172360633,-3094.7286639811387,-3365.6937532849693,-3299.948744834057,148.2014209817546,278,-2272.120108107246,-2388.7971526415467,-2451.547486551981,-2370.821582433591,74.34553058574267
6,0,2000,0.03662935892740885,0.00681592745911713,0.00862741470336914,0.0031849741320367463,kbest,9,dt,5,standard,"['car_age', 'mileage', 'tax', 'mpg']",2,"['car_age', 'mileage', 'engineSize']",z_score,30,"['car_age', 'mileage', 'tax', 'mpg']","['tax', 'mpg']",0.3,0.05,"DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42)",robust,10,iterative,freq,"{'selector__selection_method': 'kbest', 'selector__n_features_to_select': 9, 'selector__model_name': 'dt', 'selector__k': 5, 'scaler__scaler_name': 'standard', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 2, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'z_score', 'outlier_remover__n_neighbors': 30, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.3, 'outlier_remover__contamination_IF': 0.05, 'model': DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 10, 'imputer__imputation_method': 'iterative', 'encoder__method': 'freq'}",-3463.831414194494,-3379.060852800064,-3207.1112374529043,-3350.001168149154,106.80094019737837,300,-2464.2383405623987,-2538.102729791205,-2571.196797749855,-2524.512622701153,44.71052187140098
7,0,2000,0.1352399984995524,0.016631088216020423,0.01063227653503418,0.0016681497770716,rfe,7,dt,10,robust,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage', 'engineSize']",Isolation_Forest,100,"['tax', 'mpg']","['tax', 'mpg']",0.05,0.3,"DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42)",robust,16,simple,target,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 7, 'selector__model_name': 'dt', 'selector__k': 10, 'scaler__scaler_name': 'robust', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'Isolation_Forest', 'outlier_remover__n_neighbors': 100, 'outlier_remover__model_columns': ['tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.05, 'outlier_remover__contamination_IF': 0.3, 'model': DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 16, 'imputer__imputation_method': 'simple', 'encoder__method': 'target'}",-3313.3454537804982,-3682.539475063399,-3622.145083787743,-3539.34333754388,161.69550235660967,347,-2846.9934414571658,-2834.388892730696,-3133.4705719016647,-2938.2843020298424,138.11342831650228
8,0,2000,0.24413426717122397,0.04543902771717544,0.08929189046223958,0.006859585234260601,rfe,6,dt,7,robust,"['car_age', 'mileage', 'tax', 'mpg']",2,"['car_age', 'mileage', 'engineSize']",LOF,30,"['car_age', 'mileage', 'tax', 'mpg']","['car_age', 'mileage', 'tax', 'mpg']",0.05,0.15,"DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42)",robust,17,knn_modelwise,freq,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 6, 'selector__model_name': 'dt', 'selector__k': 7, 'scaler__scaler_name': 'robust', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 2, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 30, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.05, 'outlier_remover__contamination_IF': 0.15, 'model': DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 17, 'imputer__imputation_method': 'knn_modelwise', 'encoder__method': 'freq'}",-3344.3689967049886,-3309.2492913075844,-3447.134433081705,-3366.9175736980924,58.50587904263867,305,-2424.352269728009,-2408.547639544983,-2538.0372282119374,-2456.9790458283096,57.678813454673964
9,0,2000,0.09371137619018555,0.0013538555436045869,0.00464169184366862,0.00031280767948937103,rfe,7,dt,10,minmax,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage', 'engineSize']",Isolation_Forest,100,"['car_age', 'mileage', 'tax', 'mpg', 'engineSize']","['tax', 'mpg']",0.5,0.15,"DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42)",robust,16,simple,target,"{'selector__selection_method': 'rfe', 'selector__n_features_to_select': 7, 'selector__model_name': 'dt', 'selector__k': 10, 'scaler__scaler_name': 'minmax', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'Isolation_Forest', 'outlier_remover__n_neighbors': 100, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg', 'engineSize'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.5, 'outlier_remover__contamination_IF': 0.15, 'model': DecisionTreeRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      min_samples_split=10, random_state=42), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 16, 'imputer__imputation_method': 'simple', 'encoder__method': 'target'}",-3656.6933384092936,-3332.522428943315,-3149.83050928093,-3379.6820922111797,209.59565400655924,308,-2713.4797006815875,-2659.9725605510534,-2631.344555551585,-2668.2656055947423,34.04043148428181
