,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__selection_method,param_selector__model_name,param_selector__k,param_scaler__scaler_name,param_outlier_remover__z_columns,param_outlier_remover__threshold,param_outlier_remover__sev_outliers_cols,param_outlier_remover__outlier_method,param_outlier_remover__n_neighbors,param_outlier_remover__model_columns,param_outlier_remover__mod_outliers_cols,param_outlier_remover__contamination_LOF,param_outlier_remover__contamination_IF,param_model,param_imputer__knn_scaling_method,param_imputer__knn_neighbors,param_imputer__imputation_method,param_encoder__method,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0,2000,0.03626251220703125,0.002128058056133872,0.03834454218546549,0.004750209142847711,kbest,knn,7,minmax,"['car_age', 'mileage', 'tax', 'mpg']",2,"['car_age', 'mileage']",IQR,70,"['car_age', 'mileage', 'tax', 'mpg']","['car_age', 'mileage', 'tax', 'mpg']",0.15,0.5,"KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance')",robust,10,iterative,freq,"{'selector__selection_method': 'kbest', 'selector__model_name': 'knn', 'selector__k': 7, 'scaler__scaler_name': 'minmax', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 2, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'IQR', 'outlier_remover__n_neighbors': 70, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.15, 'outlier_remover__contamination_IF': 0.5, 'model': KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance'), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 10, 'imputer__imputation_method': 'iterative', 'encoder__method': 'freq'}",-4126.613209442206,-4212.266417063658,-4287.588650055286,-4208.822758853717,65.76304538033476,340,-959.8082253803176,-1198.7562307024357,-1176.660077386373,-1111.7415111563753,107.81110793999436
1,0,2000,0.24300003051757812,0.016047443831517516,0.16611758867899576,0.006524852616047288,kbest,knn,5,standard,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage', 'engineSize']",IQR,90,"['car_age', 'mileage', 'tax', 'mpg']","['tax', 'mpg']",0.3,0.15,"KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance')",robust,15,knn_modelwise,freq,"{'selector__selection_method': 'kbest', 'selector__model_name': 'knn', 'selector__k': 5, 'scaler__scaler_name': 'standard', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'IQR', 'outlier_remover__n_neighbors': 90, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.3, 'outlier_remover__contamination_IF': 0.15, 'model': KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance'), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 15, 'imputer__imputation_method': 'knn_modelwise', 'encoder__method': 'freq'}",-3687.189808571057,-3700.291054421238,-3684.313384501707,-3690.598082498001,6.9538350275315794,253,-132.96265060644478,-320.19252280573994,-240.89280599747022,-231.34932646988497,76.73358570213861
2,0,2000,0.07193390528361003,0.008226961947381543,0.041106462478637695,0.006531936457664607,kbest,knn,5,standard,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage']",LOF,100,"['car_age', 'mileage', 'tax', 'mpg', 'engineSize']","['tax', 'mpg']",0.5,0.3,"KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance')",standard,11,iterative,freq,"{'selector__selection_method': 'kbest', 'selector__model_name': 'knn', 'selector__k': 5, 'scaler__scaler_name': 'standard', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 100, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg', 'engineSize'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.5, 'outlier_remover__contamination_IF': 0.3, 'model': KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance'), 'imputer__knn_scaling_method': 'standard', 'imputer__knn_neighbors': 11, 'imputer__imputation_method': 'iterative', 'encoder__method': 'freq'}",-4171.303571399429,-4498.939949394275,-4424.715876005064,-4364.986465599589,140.2666529553257,365,-2186.7521574105767,-2144.5022727817027,-2223.115752555152,-2184.79006091581,32.123793544284425
3,0,2000,0.04183149337768555,0.006252107240967184,0.04366215070088705,0.00301065295595311,kbest,knn,10,minmax,"['car_age', 'mileage', 'tax', 'mpg']",2,"['car_age', 'mileage']",z_score,90,"['tax', 'mpg']","['tax', 'mpg']",0.05,0.15,"KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance')",robust,19,iterative,freq,"{'selector__selection_method': 'kbest', 'selector__model_name': 'knn', 'selector__k': 10, 'scaler__scaler_name': 'minmax', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 2, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'z_score', 'outlier_remover__n_neighbors': 90, 'outlier_remover__model_columns': ['tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.05, 'outlier_remover__contamination_IF': 0.15, 'model': KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance'), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 19, 'imputer__imputation_method': 'iterative', 'encoder__method': 'freq'}",-4401.472544113859,-4307.268369535836,-4503.631110614111,-4404.124008087935,80.18667477350483,366,-437.1927992533632,-538.7227099133486,-469.58445910139,-481.83332275603397,42.34467054446321
4,0,2000,0.02513408660888672,0.0011025440451266585,0.04415535926818848,0.0035813971501572166,kbest,knn,7,minmax,"['car_age', 'mileage', 'tax', 'mpg']",2,"['car_age', 'mileage']",IQR,30,"['tax', 'mpg']","['car_age', 'mileage', 'tax', 'mpg']",0.05,0.3,"KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance')",robust,16,simple,freq,"{'selector__selection_method': 'kbest', 'selector__model_name': 'knn', 'selector__k': 7, 'scaler__scaler_name': 'minmax', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 2, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'IQR', 'outlier_remover__n_neighbors': 30, 'outlier_remover__model_columns': ['tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.05, 'outlier_remover__contamination_IF': 0.3, 'model': KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance'), 'imputer__knn_scaling_method': 'robust', 'imputer__knn_neighbors': 16, 'imputer__imputation_method': 'simple', 'encoder__method': 'freq'}",-4112.930387959631,-4200.845695707316,-4265.346698648969,-4193.040927438639,62.467958436481894,339,-1119.0423189541423,-1171.4312872303337,-1248.1517079606053,-1179.541771381694,53.019767051435
5,0,2000,0.053821722666422524,0.003797522497736787,0.04164799054463705,0.002438164160605066,kbest,knn,5,minmax,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage']",z_score,70,"['tax', 'mpg']","['car_age', 'mileage', 'tax', 'mpg']",0.15,0.15,"KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance')",standard,20,iterative,target,"{'selector__selection_method': 'kbest', 'selector__model_name': 'knn', 'selector__k': 5, 'scaler__scaler_name': 'minmax', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'z_score', 'outlier_remover__n_neighbors': 70, 'outlier_remover__model_columns': ['tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.15, 'outlier_remover__contamination_IF': 0.15, 'model': KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance'), 'imputer__knn_scaling_method': 'standard', 'imputer__knn_neighbors': 20, 'imputer__imputation_method': 'iterative', 'encoder__method': 'target'}",-3141.3321065581404,-3336.1188341653124,-3308.1304855819876,-3261.860475435147,85.98896321512903,189,-764.4269167008667,-740.41601664626,-845.609890913823,-783.48427475365,45.009813506382145
6,0,2000,0.2570200761159261,0.01879324399293663,0.1500840187072754,0.021965846779277435,kbest,knn,10,robust,"['car_age', 'mileage', 'tax', 'mpg']",2,"['car_age', 'mileage']",IQR,90,"['tax', 'mpg']","['tax', 'mpg']",0.3,0.05,"KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance')",minmax,15,knn_modelwise,target,"{'selector__selection_method': 'kbest', 'selector__model_name': 'knn', 'selector__k': 10, 'scaler__scaler_name': 'robust', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 2, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'IQR', 'outlier_remover__n_neighbors': 90, 'outlier_remover__model_columns': ['tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.3, 'outlier_remover__contamination_IF': 0.05, 'model': KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance'), 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 15, 'imputer__imputation_method': 'knn_modelwise', 'encoder__method': 'target'}",-3522.4849979726887,-3784.995348142955,-3838.4247252733544,-3715.301690463,138.07578175845538,259,-278.0257576704766,-1160.758042567513,-989.6272179593506,-809.4703393991134,382.22719890078616
7,0,2000,0.02842426300048828,0.024082095059411165,0.04512906074523926,0.009307213363590196,kbest,knn,9,standard,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage']",IQR,70,"['car_age', 'mileage', 'tax', 'mpg', 'engineSize']","['car_age', 'mileage', 'tax', 'mpg']",0.3,0.15,"KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance')",minmax,19,iterative,freq,"{'selector__selection_method': 'kbest', 'selector__model_name': 'knn', 'selector__k': 9, 'scaler__scaler_name': 'standard', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'IQR', 'outlier_remover__n_neighbors': 70, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg', 'engineSize'], 'outlier_remover__mod_outliers_cols': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.3, 'outlier_remover__contamination_IF': 0.15, 'model': KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance'), 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 19, 'imputer__imputation_method': 'iterative', 'encoder__method': 'freq'}",-3957.167179872269,-3863.6069970432013,-3977.903379962936,-3932.892518959469,49.71827403116639,295,-919.8207993750434,-1149.199997913009,-1133.32976925066,-1067.4501888462376,104.59060989138219
8,0,2000,0.19649696350097656,0.015454661692167514,0.16092300415039062,0.012620719600383324,kbest,knn,5,standard,"['car_age', 'mileage', 'tax', 'mpg']",3,"['car_age', 'mileage']",LOF,50,"['car_age', 'mileage', 'tax', 'mpg']","['car_age', 'mileage', 'tax', 'mpg']",0.05,0.3,"KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance')",standard,12,knn_modelwise,freq,"{'selector__selection_method': 'kbest', 'selector__model_name': 'knn', 'selector__k': 5, 'scaler__scaler_name': 'standard', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 3, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage'], 'outlier_remover__outlier_method': 'LOF', 'outlier_remover__n_neighbors': 50, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.05, 'outlier_remover__contamination_IF': 0.3, 'model': KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance'), 'imputer__knn_scaling_method': 'standard', 'imputer__knn_neighbors': 12, 'imputer__imputation_method': 'knn_modelwise', 'encoder__method': 'freq'}",-3686.3427271172623,-3939.772615528169,-3758.0260990880242,-3794.713813911152,106.66510956946355,274,-188.23402693827458,-252.07370769281994,-210.97954643544068,-217.09576035551171,26.418835001410397
9,0,2000,0.1166986624399821,0.006350481111839784,0.04118704795837402,0.0012353462753250293,kbest,knn,9,minmax,"['car_age', 'mileage', 'tax', 'mpg']",2,"['car_age', 'mileage', 'engineSize']",Isolation_Forest,50,"['car_age', 'mileage', 'tax', 'mpg']","['car_age', 'mileage', 'tax', 'mpg']",0.05,0.15,"KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance')",minmax,18,iterative,freq,"{'selector__selection_method': 'kbest', 'selector__model_name': 'knn', 'selector__k': 9, 'scaler__scaler_name': 'minmax', 'outlier_remover__z_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__threshold': 2, 'outlier_remover__sev_outliers_cols': ['car_age', 'mileage', 'engineSize'], 'outlier_remover__outlier_method': 'Isolation_Forest', 'outlier_remover__n_neighbors': 50, 'outlier_remover__model_columns': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__mod_outliers_cols': ['car_age', 'mileage', 'tax', 'mpg'], 'outlier_remover__contamination_LOF': 0.05, 'outlier_remover__contamination_IF': 0.15, 'model': KNeighborsRegressor(leaf_size=50, n_neighbors=300, weights='distance'), 'imputer__knn_scaling_method': 'minmax', 'imputer__knn_neighbors': 18, 'imputer__imputation_method': 'iterative', 'encoder__method': 'freq'}",-4253.226943692902,-4212.039486362813,-4227.758764786984,-4231.0083982809,16.97098992816985,346,-668.973566515516,-799.7734151483866,-768.975595693737,-745.9075257858799,55.83458896628384
